frame_number,timestamp_sec,src_ip,src_entity,dst_ip,dst_entity,port,protocol,message_type,description,phase,step_ref,spec_reference
211,5.270967000,127.0.0.2,S-NG-RAN,127.0.1.5,H-AMF,38412,NGAP (SCTP),NGSetupRequest,gNB registers with AMF,Pre-Handover - Setup,Pre-handover (gNB/AMF)),TS 38.413 s9.3.3.1
217,5.283215000,127.0.1.5,H-AMF,127.0.0.2,S-NG-RAN,37838,NGAP (SCTP),NGSetupResponse,AMF confirms gNB registration,Pre-Handover - Setup,Pre-handover (gNB/AMF),TS 38.413 s9.3.3.1
219,5.283481000,127.0.0.3,T-NG-RAN,127.0.2.5,V-AMF,38412,NGAP (SCTP),NGSetupRequest,gNB registers with AMF,Pre-Handover - Setup,Pre-handover (gNB/AMF)),TS 38.413 s9.3.3.1
221,5.283853000,127.0.2.5,V-AMF,127.0.0.3,T-NG-RAN,43743,NGAP (SCTP),NGSetupResponse,AMF confirms gNB registration,Pre-Handover - Setup,Pre-handover (gNB/AMF),TS 38.413 s9.3.3.1
223,5.284199000,127.0.0.2,S-NG-RAN,127.0.1.5,H-AMF,38412,NGAP (SCTP),InitialUEMessage,UE Registration Request from S-NG-RAN,Pre-Handover - Registration,Step 1a (UE -> S-NG-RAN -> H-AMF),TS 38.413 s9.3.5.1 / TS 23.502 s4.2.2.2
224,5.284548000,127.0.1.5,H-AMF,127.0.0.2,S-NG-RAN,37838,NGAP (SCTP),DownlinkNASTransport,NAS downlink message (Identity/Auth/Security),Pre-Handover - Registration,Step 1 DL NAS,TS 38.413 s9.3.5.2
225,5.284693000,127.0.0.2,S-NG-RAN,127.0.1.5,H-AMF,38412,NGAP (SCTP),UplinkNASTransport,NAS uplink message (Identity/Auth/Security response),Pre-Handover - Registration,Step 1 UL NAS,TS 38.413 s9.3.5.3
226,5.285089000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nausf_UEAuthentication Create,UE authentication initiation,Pre-Handover - Registration,Auth SBI,TS 29.509 s5.2.2 / TS 23.502 s4.2.2.2
227,5.285379000,127.0.0.1,SCP1,127.0.1.11,AUSF,80,SBI (HTTP/2),Nausf_UEAuthentication Create,UE authentication initiation,Pre-Handover - Registration,Auth SBI,TS 29.509 s5.2.2 / TS 23.502 s4.2.2.2
228,5.285771000,127.0.0.1,AUSF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudm_UEAuthentication Get,UDM provides authentication vector,Pre-Handover - Registration,Auth SBI,TS 29.503 s5.2.2 / TS 23.502 s4.2.2.2
229,5.286008000,127.0.0.1,SCP1,127.0.1.12,UDM,80,SBI (HTTP/2),Nudm_UEAuthentication Get,UDM provides authentication vector,Pre-Handover - Registration,Auth SBI,TS 29.503 s5.2.2 / TS 23.502 s4.2.2.2
230,5.286309000,127.0.0.1,UDM,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudr_DM Authentication Data,UDR subscription authentication data access,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
236,5.287142000,127.0.0.1,SCP1,127.0.1.20,UDR,80,SBI (HTTP/2),Nudr_DM Authentication Data,UDR subscription authentication data access,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
247,5.288146000,127.0.1.20,UDR,127.0.0.1,SCP1,39022,SBI (HTTP/2),Nudr_DM Authentication Data Response,Response to Nudr_DM Authentication Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
250,5.288340000,127.0.1.200,SCP1,127.0.0.1,UDM,43624,SBI (HTTP/2),Nudr_DM Authentication Data Response,Response to Nudr_DM Authentication Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
253,5.288563000,127.0.1.12,UDM,127.0.0.1,SCP1,45472,SBI (HTTP/2),Nudm_UEAuthentication Get Response,Response to Nudm_UEAuthentication Get [HTTP 200],Pre-Handover - Registration,Auth SBI,TS 29.503 s5.2.2 / TS 23.502 s4.2.2.2
256,5.288659000,127.0.1.200,SCP1,127.0.0.1,AUSF,43622,SBI (HTTP/2),Nudm_UEAuthentication Get Response,Response to Nudm_UEAuthentication Get [HTTP 200],Pre-Handover - Registration,Auth SBI,TS 29.503 s5.2.2 / TS 23.502 s4.2.2.2
259,5.288857000,127.0.1.11,AUSF,127.0.0.1,SCP1,46588,SBI (HTTP/2),Nausf_UEAuthentication Create Response,Response to Nausf_UEAuthentication Create [HTTP 201],Pre-Handover - Registration,Auth SBI,TS 29.509 s5.2.2 / TS 23.502 s4.2.2.2
265,5.289269000,127.0.1.5,H-AMF,127.0.0.2,S-NG-RAN,37838,NGAP (SCTP),DownlinkNASTransport,NAS downlink message (Identity/Auth/Security),Pre-Handover - Registration,Step 1 DL NAS,TS 38.413 s9.3.5.2
266,5.289407000,127.0.0.2,S-NG-RAN,127.0.1.5,H-AMF,38412,NGAP (SCTP),UplinkNASTransport,NAS uplink message (Identity/Auth/Security response),Pre-Handover - Registration,Step 1 UL NAS,TS 38.413 s9.3.5.3
267,5.289597000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),SBI (Other),Other SBI message,Pre-Handover,,TS 29.500
268,5.289717000,127.0.0.1,SCP1,127.0.1.11,AUSF,80,SBI (HTTP/2),SBI (Other),Other SBI message,Pre-Handover,,TS 29.500
269,5.289859000,127.0.0.1,AUSF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudm_UEAuthentication Get,UDM provides authentication vector,Pre-Handover - Registration,Auth SBI,TS 29.503 s5.2.2 / TS 23.502 s4.2.2.2
270,5.289954000,127.0.0.1,SCP1,127.0.1.12,UDM,80,SBI (HTTP/2),Nudm_UEAuthentication Get,UDM provides authentication vector,Pre-Handover - Registration,Auth SBI,TS 29.503 s5.2.2 / TS 23.502 s4.2.2.2
273,5.290084000,127.0.0.1,UDM,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudr_DM Authentication Data,UDR subscription authentication data access,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
274,5.290181000,127.0.0.1,SCP1,127.0.1.20,UDR,80,SBI (HTTP/2),Nudr_DM Authentication Data,UDR subscription authentication data access,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
281,5.291442000,127.0.1.20,UDR,127.0.0.1,SCP1,39022,SBI (HTTP/2),Nudr_DM Authentication Data Response,Response to Nudr_DM Authentication Data [HTTP 204],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
283,5.291770000,127.0.1.12,UDM,127.0.0.1,SCP1,45472,SBI (HTTP/2),Nudm_UEAuthentication Get Response,Response to Nudm_UEAuthentication Get [HTTP 201],Pre-Handover - Registration,Auth SBI,TS 29.503 s5.2.2 / TS 23.502 s4.2.2.2
289,5.292091000,127.0.1.11,AUSF,127.0.0.1,SCP1,46588,SBI (HTTP/2),SBI (Other) Response,Response to SBI (Other) [HTTP 200],Pre-Handover,,TS 29.500
295,5.292389000,127.0.1.5,H-AMF,127.0.0.2,S-NG-RAN,37838,NGAP (SCTP),DownlinkNASTransport,NAS downlink message (Identity/Auth/Security),Pre-Handover - Registration,Step 1 DL NAS,TS 38.413 s9.3.5.2
296,5.292502000,127.0.0.2,S-NG-RAN,127.0.1.5,H-AMF,38412,NGAP (SCTP),UplinkNASTransport,NAS uplink message (Identity/Auth/Security response),Pre-Handover - Registration,Step 1 UL NAS,TS 38.413 s9.3.5.3
297,5.292721000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudm_UECM Registration,AMF registers UE context at UDM,Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.3
298,5.292901000,127.0.0.1,SCP1,127.0.1.12,UDM,80,SBI (HTTP/2),Nudm_UECM Registration,AMF registers UE context at UDM,Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.3
299,5.293230000,127.0.0.1,UDM,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudr_DM AMF Context,UDR stores AMF 3GPP access context,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
300,5.293391000,127.0.0.1,SCP1,127.0.1.20,UDR,80,SBI (HTTP/2),Nudr_DM AMF Context,UDR stores AMF 3GPP access context,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
303,5.293947000,127.0.1.20,UDR,127.0.0.1,SCP1,39022,SBI (HTTP/2),Nudr_DM AMF Context Response,Response to Nudr_DM AMF Context [HTTP 204],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
304,5.294082000,127.0.1.200,SCP1,127.0.0.1,H-AMF,43624,SBI (HTTP/2),Nausf_UEAuthentication Create Response,Response to Nausf_UEAuthentication Create [HTTP 204],Pre-Handover - Registration,Auth SBI,TS 29.509 s5.2.2 / TS 23.502 s4.2.2.2
305,5.294270000,127.0.1.12,UDM,127.0.0.1,SCP1,45472,SBI (HTTP/2),Nudm_UECM Registration Response,Response to Nudm_UECM Registration [HTTP 201],Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.3
311,5.294629000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudm_SDM Get,AMF/SMF retrieves subscription data from UDM,Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
312,5.294815000,127.0.0.1,SCP1,127.0.1.12,UDM,80,SBI (HTTP/2),Nudm_SDM Get,AMF/SMF retrieves subscription data from UDM,Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
313,5.294997000,127.0.0.1,UDM,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudr_DM Provisioned Data,UDR provides provisioned subscription data,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
314,5.295156000,127.0.0.1,SCP1,127.0.1.20,UDR,80,SBI (HTTP/2),Nudr_DM Provisioned Data,UDR provides provisioned subscription data,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
317,5.295588000,127.0.1.20,UDR,127.0.0.1,SCP1,39022,SBI (HTTP/2),Nudr_DM Provisioned Data Response,Response to Nudr_DM Provisioned Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
320,5.295752000,127.0.1.200,SCP1,127.0.0.1,UDM,43624,SBI (HTTP/2),Nudr_DM Provisioned Data Response,Response to Nudr_DM Provisioned Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
325,5.296046000,127.0.1.12,UDM,127.0.0.1,SCP1,45472,SBI (HTTP/2),Nudm_SDM Get Response,Response to Nudm_SDM Get [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
328,5.296170000,127.0.1.200,SCP1,127.0.0.1,H-AMF,43614,SBI (HTTP/2),Nudm_SDM Get Response,Response to Nudm_SDM Get [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
331,5.296370000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudm_SDM Get,AMF/SMF retrieves subscription data from UDM,Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
332,5.296561000,127.0.0.1,SCP1,127.0.1.12,UDM,80,SBI (HTTP/2),Nudm_SDM Get,AMF/SMF retrieves subscription data from UDM,Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
333,5.296730000,127.0.0.1,UDM,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudr_DM Provisioned Data,UDR provides provisioned subscription data,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
334,5.296885000,127.0.0.1,SCP1,127.0.1.20,UDR,80,SBI (HTTP/2),Nudr_DM Provisioned Data,UDR provides provisioned subscription data,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
337,5.297274000,127.0.1.20,UDR,127.0.0.1,SCP1,39022,SBI (HTTP/2),Nudr_DM Provisioned Data Response,Response to Nudr_DM Provisioned Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
340,5.297422000,127.0.1.200,SCP1,127.0.0.1,UDM,43624,SBI (HTTP/2),Nudr_DM Provisioned Data Response,Response to Nudr_DM Provisioned Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
343,5.297690000,127.0.1.12,UDM,127.0.0.1,SCP1,45472,SBI (HTTP/2),Nudm_SDM Get Response,Response to Nudm_SDM Get [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
346,5.297814000,127.0.1.200,SCP1,127.0.0.1,H-AMF,43614,SBI (HTTP/2),Nudm_SDM Get Response,Response to Nudm_SDM Get [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
349,5.297988000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudm_SDM_Get UE Context in SMF Data,AMF retrieves existing SMF PDU session list from UDM,Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
350,5.298160000,127.0.0.1,SCP1,127.0.1.12,UDM,80,SBI (HTTP/2),Nudm_SDM_Get UE Context in SMF Data,AMF retrieves existing SMF PDU session list from UDM,Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
351,5.298281000,127.0.1.12,UDM,127.0.0.1,SCP1,45472,SBI (HTTP/2),Nudm_SDM_Get UE Context in SMF Data Response,Response to Nudm_SDM_Get UE Context in SMF Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
354,5.298407000,127.0.1.200,SCP1,127.0.0.1,H-AMF,43614,SBI (HTTP/2),Nudm_SDM_Get UE Context in SMF Data Response,Response to Nudm_SDM_Get UE Context in SMF Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
357,5.298575000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),SBI (Other),Other SBI message,Pre-Handover,,TS 29.500
358,5.298738000,127.0.0.1,SCP1,127.0.1.12,UDM,80,SBI (HTTP/2),SBI (Other),Other SBI message,Pre-Handover,,TS 29.500
359,5.298899000,127.0.1.12,UDM,127.0.0.1,SCP1,45472,SBI (HTTP/2),SBI (Other) Response,Response to SBI (Other) [HTTP 201],Pre-Handover,,TS 29.500
365,5.299336000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),SBI (Other),Other SBI message,Pre-Handover,,TS 29.500
366,5.299509000,127.0.0.1,Loopback-Client,127.0.1.13,PCF,80,SBI (HTTP/2),SBI (Other),Other SBI message,Pre-Handover,,TS 29.500
367,5.299961000,127.0.0.1,PCF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudr_DM Policy Data,UDR provides policy data for PCF,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
368,5.300115000,127.0.0.1,SCP1,127.0.1.20,UDR,80,SBI (HTTP/2),Nudr_DM Policy Data,UDR provides policy data for PCF,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
371,5.300481000,127.0.1.20,UDR,127.0.0.1,SCP1,39022,SBI (HTTP/2),Nudr_DM Policy Data Response,Response to Nudr_DM Policy Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
374,5.300650000,127.0.1.200,SCP1,127.0.0.1,PCF,43626,SBI (HTTP/2),Nudr_DM Policy Data Response,Response to Nudr_DM Policy Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
384,5.301541000,127.0.1.13,PCF,127.0.0.1,Loopback-Client,48964,SBI (HTTP/2),SBI (Other) Response,Response to SBI (Other) [HTTP 201],Pre-Handover,,TS 29.500
391,5.301979000,127.0.1.5,H-AMF,127.0.0.2,S-NG-RAN,37838,NGAP (SCTP),InitialContextSetupRequest,AMF establishes UE context at S-NG-RAN,Pre-Handover - Registration,Step 1 InitialContextSetup,TS 38.413 s9.3.1.1 / TS 23.502 s4.2.2.2
392,5.302100000,127.0.0.2,S-NG-RAN,127.0.1.5,H-AMF,38412,NGAP (SCTP),UERadioCapabilityInfoIndication,S-NG-RAN reports UE radio capability,Pre-Handover - Registration,Step 1 (optional),TS 38.413 s9.3.1.13
393,5.302132000,127.0.0.2,S-NG-RAN,127.0.1.5,H-AMF,38412,NGAP (SCTP),InitialContextSetupResponse,S-NG-RAN confirms UE context established,Pre-Handover - Registration,Step 1 InitialContextSetup,TS 38.413 s9.3.1.1
395,5.302173000,127.0.0.2,S-NG-RAN,127.0.1.5,H-AMF,38412,NGAP (SCTP),UplinkNASTransport,NAS uplink message (Identity/Auth/Security response),Pre-Handover - Registration,Step 1 UL NAS,TS 38.413 s9.3.5.3
396,5.302280000,127.0.1.5,H-AMF,127.0.0.2,S-NG-RAN,37838,NGAP (SCTP),DownlinkNASTransport,NAS downlink message (Identity/Auth/Security),Pre-Handover - Registration,Step 1 DL NAS,TS 38.413 s9.3.5.2
397,5.302384000,127.0.0.2,S-NG-RAN,127.0.1.5,H-AMF,38412,NGAP (SCTP),UplinkNASTransport,NAS uplink message (Identity/Auth/Security response),Pre-Handover - Registration,Step 1 UL NAS,TS 38.413 s9.3.5.3
398,5.302614000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nsmf_PDUSession_CreateSMContext (H-SMF),H-AMF creates PDU session at H-SMF (initial session),Pre-Handover - Session Setup,Step 1d-e (H-AMF -> H-SMF via SCP1),TS 29.502 s5.2.2 / TS 23.502 s4.3.2
399,5.302809000,127.0.0.1,SCP1,127.0.1.4,H-SMF,80,SBI (HTTP/2),Nsmf_PDUSession_CreateSMContext (H-SMF),H-AMF creates PDU session at H-SMF (initial session),Pre-Handover - Session Setup,Step 1d-e (H-AMF -> H-SMF via SCP1),TS 29.502 s5.2.2 / TS 23.502 s4.3.2
400,5.303314000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudm_SDM Get,AMF/SMF retrieves subscription data from UDM,Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
401,5.303490000,127.0.0.1,SCP1,127.0.1.12,UDM,80,SBI (HTTP/2),Nudm_SDM Get,AMF/SMF retrieves subscription data from UDM,Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
402,5.303740000,127.0.0.1,UDM,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudr_DM Provisioned Data,UDR provides provisioned subscription data,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
403,5.303897000,127.0.0.1,SCP1,127.0.1.20,UDR,80,SBI (HTTP/2),Nudr_DM Provisioned Data,UDR provides provisioned subscription data,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
406,5.304347000,127.0.1.20,UDR,127.0.0.1,SCP1,39022,SBI (HTTP/2),Nudr_DM Provisioned Data Response,Response to Nudr_DM Provisioned Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
409,5.304547000,127.0.1.200,SCP1,127.0.0.1,UDM,43624,SBI (HTTP/2),Nudr_DM Provisioned Data Response,Response to Nudr_DM Provisioned Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
412,5.304959000,127.0.1.12,UDM,127.0.0.1,SCP1,45472,SBI (HTTP/2),Nudm_SDM Get Response,Response to Nudm_SDM Get [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
415,5.305092000,127.0.1.200,SCP1,127.0.0.1,H-AMF,43616,SBI (HTTP/2),Nudm_SDM Get Response,Response to Nudm_SDM Get [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.503 s5.2.4
418,5.305347000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),SBI (Other),Other SBI message,Pre-Handover,,TS 29.500
419,5.305535000,127.0.0.1,SCP1,127.0.1.12,UDM,80,SBI (HTTP/2),SBI (Other),Other SBI message,Pre-Handover,,TS 29.500
420,5.305721000,127.0.1.12,UDM,127.0.0.1,SCP1,45472,SBI (HTTP/2),SBI (Other) Response,Response to SBI (Other) [HTTP 201],Pre-Handover,,TS 29.500
426,5.306127000,127.0.1.4,H-SMF,127.0.0.1,SCP1,39590,SBI (HTTP/2),Nsmf_PDUSession_CreateSMContext (H-SMF) Response,Response to Nsmf_PDUSession_CreateSMContext (H-SMF) [HTTP 201],Pre-Handover - Session Setup,Step 1d-e (H-AMF -> H-SMF via SCP1),TS 29.502 s5.2.2 / TS 23.502 s4.3.2
428,5.306197000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),SBI (Other),Other SBI message,Pre-Handover,,TS 29.500
431,5.306412000,127.0.0.1,Loopback-Client,127.0.1.13,PCF,80,SBI (HTTP/2),SBI (Other),Other SBI message,Pre-Handover,,TS 29.500
437,5.307014000,127.0.0.1,PCF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nudr_DM Policy Data,UDR provides policy data for PCF,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
438,5.307204000,127.0.0.1,SCP1,127.0.1.20,UDR,80,SBI (HTTP/2),Nudr_DM Policy Data,UDR provides policy data for PCF,Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
441,5.307624000,127.0.1.20,UDR,127.0.0.1,SCP1,39022,SBI (HTTP/2),Nudr_DM Policy Data Response,Response to Nudr_DM Policy Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
444,5.307785000,127.0.1.200,SCP1,127.0.0.1,PCF,43626,SBI (HTTP/2),Nudr_DM Policy Data Response,Response to Nudr_DM Policy Data [HTTP 200],Pre-Handover - Registration,Registration SBI,TS 29.504 s5.2.2
449,5.308168000,127.0.0.1,PCF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nbsf_Management Create,PCF creates BSF binding,Pre-Handover - Session Setup,Session SBI,TS 29.521 s5.2.2
455,5.308970000,127.0.0.1,SCP1,127.0.1.15,BSF,80,SBI (HTTP/2),Nbsf_Management Create,PCF creates BSF binding,Pre-Handover - Session Setup,Session SBI,TS 29.521 s5.2.2
461,5.309300000,127.0.1.15,BSF,127.0.0.1,SCP1,60948,SBI (HTTP/2),Nbsf_Management Create Response,Response to Nbsf_Management Create [HTTP 201],Pre-Handover - Session Setup,Session SBI,TS 29.521 s5.2.2
469,5.310207000,127.0.1.13,PCF,127.0.0.1,Loopback-Client,48964,SBI (HTTP/2),SBI (Other) Response,Response to SBI (Other) [HTTP 201],Pre-Handover,,TS 29.500
475,5.310653000,127.0.1.4,H-SMF,127.0.1.7,H-UPF,8805,PFCP (UDP),PFCP Session Establishment Request,SMF establishes N4 session at UPF (FAR/PDR/QER setup),Pre-Handover - Session Setup,N4 Session Establishment,TS 29.244 s7.4 / TS 23.502 s4.3.2
476,5.311082000,127.0.1.7,H-UPF,127.0.1.4,H-SMF,8805,PFCP (UDP),PFCP Session Establishment Response,UPF confirms N4 session establishment,Pre-Handover - Session Setup,N4 Session Establishment,TS 29.244 s7.4
